date,tweetcount,closelast,volume,open,high,low,sell,buy,iraneventcount,alleventcount,covidtrend,irantrend,new_cases,cumulative_cases,new_deaths,cumulative_deaths,globalnew_cases,globalcumulative_cases,global_new_deaths,global_cumulative_deaths,tweetscovidnofarsi,tweetsnofarsi,tweetsenglish,tweetscovid,iranprotest,iranmatconf,year,month,day,statadate,irneventpr,newcasepr,cumcasepr,newdeathpr,cumdeathpr
2020-09-20,1298,43.150002,25486,43.259998,43.220001,42.689999,27300,27200,34,821,28,2,2845,419043,166,24118,333892,31219147,5785,1009259,42,1167,559,42,0,0,2020,9,20,20sep2020,.041412912,.0085207196,.013422628,.0286949,.023896741
2020-09-21,1015,41.439999,219,43.02,41.82,41.630001,27250,27150,61,1422,28,2,3097,422140,183,24301,296730,31515877,4976,1014235,42,892,588,42,0,0,2020,9,21,21sep2020,.042897329,.010437097,.013394519,.036776528,.023959931
2020-09-22,1208,41.720001,19199,41.790001,42.189999,41.209999,27550,27450,62,1827,28,2,3341,425481,177,24478,254872,31770749,4094,1018329,55,1143,651,55,0,0,2020,9,22,22sep2020,.033935413,.01310854,.013392224,.043234002,.024037419
2020-09-23,1403,41.77,22741,41.740002,42.610001,41.400002,28150,28050,41,1842,28,2,3712,429193,178,24656,272848,32043597,4838,1023167,52,1324,518,52,0,0,2020,9,23,23sep2020,.022258414,.013604645,.013394034,.036792062,.024097728
2020-09-24,1569,41.939999,21,41.5,41.799999,41.759998,28750,28650,102,1687,28,2,3605,432798,184,24840,323621,32367218,6015,1029182,41,1505,484,41,0,0,2020,9,24,24sep2020,.060462359,.011139574,.013371492,.030590191,.024135673
2020-09-25,1013,41.919998,869,41.93,42.009998,41.689999,28750,28650,44,1523,28,2,3521,436319,175,25015,312369,32679587,6239,1035421,16,956,391,16,0,0,2020,9,25,25sep2020,.028890347,.011271926,.013351424,.028049367,.024159255
2020-09-26,1155,41.919998,869,41.93,42.009998,41.689999,28850,28750,45,775,28,2,3563,439882,207,25222,312125,32991712,5921,1041342,25,1085,501,25,0,0,2020,9,26,26sep2020,.058064517,.011415298,.013333106,.034960311,.02422067
2020-09-27,1001,41.919998,869,41.93,42.009998,41.689999,29200,29100,17,1102,26,3,3204,443086,172,25394,324021,33315733,5663,1047005,34,917,647,34,0,0,2020,9,27,27sep2020,.015426497,.0098882476,.013299602,.030372594,.024253944
2020-09-28,1261,42.43,9946,41.849998,42.619999,41.48,29550,29450,7,682,26,3,3362,446448,195,25589,290899,33606632,5229,1052234,40,1105,514,40,0,0,2020,9,28,28sep2020,.01026393,.011557275,.013284521,.037292026,.024318736
2020-09-29,1211,41.029999,1486,42.43,42.52,40.439999,29480,29380,1,4,26,3,3512,449960,190,25779,257508,33864140,4109,1056343,36,1122,509,36,0,0,2020,9,29,29sep2020,.25,.013638412,.013287212,.046239961,.024404004
2020-09-30,629,40.950001,517,40.75,40.970001,40.950001,29800,29700,4,8,26,3,3677,453637,207,25986,283694,34147834,4654,1060997,15,591,425,15,0,0,2020,9,30,30sep2020,.5,.012961148,.013284503,.044477869,.024492057
2020-10-01,599,40.93,34234,42.02,42.560001,39.919998,30000,29900,0,16,26,3,3582,457219,183,26169,325513,34473347,6154,1067151,11,557,360,11,0,0,2020,10,1,01oct2020,0,.011004169,.013262971,.029736757,.024522303
2020-10-02,378,39.27,200,40.790001,39.240002,39.049999,30000,29900,1,13,26,3,3825,461044,211,26380,330638,34803985,6168,1073319,51,306,225,52,0,0,2020,10,2,02oct2020,.07692308,.011568544,.013246874,.034208819,.024577968
2020-10-03,725,39.27,200,40.790001,39.240002,39.049999,29450,29350,0,9,26,3,3552,464596,187,26567,320457,35124442,8683,1082002,77,659,510,77,0,0,2020,10,3,03oct2020,0,.01108417,.013227142,.021536335,.02455356
2020-10-04,657,39.27,200,40.790001,39.240002,39.049999,28600,28500,1,32,21,3,3523,468119,179,26746,338261,35462703,5477,1087479,38,587,518,38,0,0,2020,10,4,04oct2020,.03125,.010415034,.013200319,.032682125,.024594499
2020-10-05,253,41.290001,29029,39.220001,41.779999,39.209999,29400,29300,21,1048,21,3,3653,471772,211,26957,307020,35769723,4744,1092223,8,228,192,8,0,0,2020,10,5,05oct2020,.020038167,.011898248,.013189144,.044477236,.024680857
2020-10-06,661,42.650002,674,41.52,42.349998,41.900002,29650,29550,29,1843,21,3,3902,475674,235,27192,274207,36043930,4441,1096664,14,637,548,14,0,0,2020,10,6,06oct2020,.015735215,.014230126,.013197063,.052916009,.024795197
2020-10-07,310,41.990002,1009,41.939999,42.18,41.919998,29750,29650,40,1988,21,3,4151,479825,227,27419,309286,36353216,4736,1101400,24,270,194,24,0,1,2020,10,7,07oct2020,.020120725,.013421235,.01319897,.047930744,.024894679
2020-10-08,1105,43.34,13763,42.060001,43.470001,41.860001,29750,29650,35,1740,21,3,4019,483844,239,27658,370853,36724069,5688,1107088,24,988,374,24,0,1,2020,10,8,08oct2020,.020114943,.010837178,.01317512,.042018283,.024982657
2020-10-09,410,42.849998,25076,43.41,43.560001,42.610001,29750,29650,25,1559,21,3,4392,488236,230,27888,359531,37083600,6356,1113444,11,370,313,11,0,0,2020,10,9,09oct2020,.01603592,.012215914,.01316582,.036186282,.025046611
